deposit,stake,currency_condition,fixed_income,net_revenue,revenue_share,revenue_share_cpa,currency_fixed_income,cpa_at,cpa_simulated_at,cpa_affiliate_at,registered_at,first_deposit_at,id,link_id,partner_link_accumulated_id,punter_id,cpa_betenlace,cpa_partner,deposit_count,stake_count,could_be_fraud,updated_at,created_at
0.00000000,0.00000000,EUR,0.00000000,-19.03000000,0.00000000,0.00000000,EUR,,,,2023-11-02,,90701,6232,2199,1253856,0,0,0,0,false,2024-10-25 17:47:15.532000 +00:00,2023-12-02 00:00:00.000000 +00:00
0.00000000,0.00000000,EUR,0.00000000,118.03000000,0.00000000,0.00000000,EUR,,,,2023-11-03,,90713,6232,2199,1254153,0,0,0,0,false,2024-10-25 17:47:15.682000 +00:00,2023-12-03 00:00:00.000000 +00:00
570.00000000,0.00000000,EUR,0.00000000,303.24000000,0.00000000,0.00000000,EUR,,,,2023-11-03,,90702,6232,2199,1254323,0,0,0,0,false,2024-10-25 17:47:15.532000 +00:00,2023-12-02 00:00:00.000000 +00:00
0.00000000,0.00000000,EUR,0.00000000,10.64000000,0.00000000,0.00000000,EUR,,,,2023-11-04,,90703,6232,2199,1254637,0,0,0,0,false,2024-10-25 17:47:15.532000 +00:00,2023-12-02 00:00:00.000000 +00:00
0.00000000,0.00000000,EUR,0.00000000,3.04000000,0.00000000,0.00000000,EUR,,,,2023-11-05,,90743,6232,2199,1254936,0,0,0,0,false,2024-10-25 17:47:46.946000 +00:00,2023-12-23 00:00:00.000000 +00:00
135.00000000,0.00000000,EUR,0.00000000,67.56000000,0.00000000,0.00000000,EUR,,,,2023-11-08,,90729,6232,2199,1256577,0,0,0,0,false,2024-10-25 17:47:46.369000 +00:00,2023-12-19 00:00:00.000000 +00:00
45.00000000,0.00000000,EUR,0.00000000,-46.26000000,0.00000000,0.00000000,EUR,,,,2023-11-14,,90748,6232,2199,1259150,0,0,0,0,false,2024-10-25 17:47:47.091000 +00:00,2023-12-24 00:00:00.000000 +00:00
0.00000000,0.00000000,EUR,0.00000000,1.99000000,0.00000000,0.00000000,EUR,,,,2023-11-25,,90714,6232,2199,1264551,0,0,0,0,false,2024-10-25 17:47:15.682000 +00:00,2023-12-03 00:00:00.000000 +00:00
0.00000000,0.00000000,EUR,0.00000000,15.33000000,0.00000000,0.00000000,EUR,,,,2023-11-27,,90693,6232,2199,1264980,0,0,0,0,false,2024-10-25 17:47:14.701000 +00:00,2023-12-01 00:00:00.000000 +00:00
122.00000000,0.00000000,EUR,0.00000000,-70.58000000,0.00000000,0.00000000,EUR,,,,2023-11-30,,90695,6232,2199,1266199,0,0,0,0,false,2024-10-25 17:47:14.701000 +00:00,2023-12-01 00:00:00.000000 +00:00
360.00000000,0.00000000,EUR,0.00000000,268.05000000,0.00000000,0.00000000,EUR,,,,2023-11-30,,90694,6232,2199,1266122,0,0,0,0,false,2024-10-25 17:47:14.701000 +00:00,2023-12-01 00:00:00.000000 +00:00
90.00000000,0.00000000,EUR,0.00000000,18.10000000,0.00000000,0.00000000,EUR,,,,2023-12-01,,90696,6232,2199,1266845,0,0,0,0,false,2024-10-25 17:47:14.701000 +00:00,2023-12-01 00:00:00.000000 +00:00
